Name,Molecular_Weight
H2,2.02E+00
H,1.01E+00
O,1.60E+01
O2,3.20E+01
OH,1.70E+01
H2O,1.80E+01
HO2,3.30E+01
H2O2,3.40E+01
C,1.20E+01
CH,1.30E+01
CH2,1.40E+01
CH2(S),1.40E+01
CH3,1.50E+01
CH4,1.60E+01
CO,2.80E+01
CO2,4.40E+01
HCO,2.90E+01
CH2O,3.00E+01
CH2OH,3.10E+01
CH3O,3.10E+01
CH3OH,3.20E+01
C2H,2.50E+01
C2H2,2.60E+01
C2H3,2.70E+01
C2H4,2.81E+01
C2H5,2.91E+01
C2H6,3.01E+01
HCCO,4.10E+01
CH2CO,4.20E+01
HCCOH,4.20E+01
N,1.40E+01
NH,1.50E+01
NH2,1.60E+01
NH3,1.70E+01
NNH,2.90E+01
NO,3.00E+01
NO2,4.60E+01
N2O,4.40E+01
HNO,3.10E+01
CN,2.60E+01
HCN,2.70E+01
H2CN,2.80E+01
HCNN,4.10E+01
HCNO,4.30E+01
HOCN,4.30E+01
HNCO,4.30E+01
NCO,4.20E+01
N2,2.80E+01
AR,3.99E+01
C3H7,4.31E+01
C3H8,4.41E+01
CH2CHO,4.30E+01
CH3CHO,4.41E+01
